"11223344","Allan Geno","AG@njit.edu","12345"
"12324400","Vanessa Azeve","VAZ@njit.edu","12345"
"12333333","christine baluhi","chb@njit.edu","12345"
"12334499","nick Finchi","balogna","12345"
"12345677","Barrack Obama","obama@njit.edu","12345"
"12345678","Eric Palumbo","ep85@njit.edu","12345"
"12349999","Joe Biden","JoeB@njit.edu","12345"
"23213455","Eli Manning","GiantsWon@njit.edu","12345"
"23431233","Karen Olive","KAR@njit.edu","12345"
"33445344","Dan Bucks","dbucks@njit.edu","12345"
"34439099","Steven Hudi","Stevi@njit.edu","12345"
"34542345","Joshy Vincent","JoshV@njit.edu","12345"
"40344455","Frank Aurema","Faurem@njit.edu","12345"
"43341200","Victor Cruz","VCruz@njit.edu","12345"
"43342321","Jenifer Johnson","JJ22@njit.edu","12345"
"43542341","Odell Beckham JR","ODELBABY@gmail.com","12345"
"44345412","Dan Amit","FDAT@gmail.com","12345"
"44990011","Alyssa Olive","AO@njit.edu","12345"
"44995500","Vinny Galone","vg@njit.edu","12345"
"45342345","Jim Mcguire","jimmy@njit.edu","12345"
"45443322","Joe Codomo","Joey@njit.edu","12345"
"55443311","Andy Smith","andys@njit.edu","12345"
"88440033","Ann Margaret ","aa@njit.edu","12345"
"88774343","Hanna Jane","HanBone@njit.edu","12345"
"88994400","Bill Smith","asd@gmail.com","12345"
"90933211","Vincent Getti","VGETT@njit.edu","12345"
"93213454","Sam Smith","SamSmi@njit.edu","12345"
"99099221","George Bill","George@njit.edu","12345"
"99884433","David","Smith","12345"
"123456123","Jacob Smith","Jsmith@njit.edu","12345"
